system:index,From_LCZ,To_LCZ_1,To_LCZ_10,To_LCZ_11,To_LCZ_12,To_LCZ_13,To_LCZ_14,To_LCZ_15,To_LCZ_16,To_LCZ_17,To_LCZ_2,To_LCZ_3,To_LCZ_4,To_LCZ_5,To_LCZ_6,To_LCZ_7,To_LCZ_8,To_LCZ_9,.geo
0,1.0,0.9999999983999994,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999994,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999994,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999983999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,1.0000000000000004E-6,0.9999999983999999,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,1.0000000000000004E-6,1.0000000000000004E-6,0.9999999532163766,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,1.0000000000000004E-6,1.0000000000000004E-6,0.5801749017416225,0.4198250545266012,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,1.0000000000000004E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
